sample_id,sample_name,region,coal_rank,moisture_content,ash_content,sulfur_content,volatile_content,calorific_value,available_quantity,unit_cost,source_title,source_url,source_note
SM-5800,神木不粘煤,陕西榆林,bituminous,14.0,7.5,0.40,32.0,5800,8000,550,榆林煤价格指数2025,https://drc.yl.gov.cn/,神木矿区5800大卡动力煤；特低灰特低硫；优质化工用煤及配煤主力煤种。
DT-5500,大同弱粘煤,山西大同,bituminous,10.0,13.0,1.20,29.0,5500,10000,650,中国煤炭资源网 区域煤炭品质全梳理,https://www.cctd.com.cn/show-176-171895-1.html,大同矿区标准5500大卡动力煤；中国动力煤基准煤种；硫分偏高需搭配低硫煤。
ZD-4200,准东长焰煤,新疆准东,sub-bituminous,25.0,8.0,0.35,32.0,4200,15000,80,准东煤及其混煤燃烧与结渣特性(洁净煤技术2019),https://www.jjmjs.com.cn/en/article/doi/10.13226/j.issn.1006-6772.18101001,高钠煤(Na₂O 2-10%)；纯烧结渣沾污严重；一般掺烧比例≤50%。
YQ-6800,阳泉无烟煤,山西阳泉,anthracite,7.0,14.0,1.30,9.0,6800,5000,600,阳泉煤业竞价销售交易公告 2025,https://www.gc-zb.com.cn/,低挥发分无烟煤；高热值用于高炉喷吹和配煤提热；掺配时须注意挥发分差值限制。
DS-6500,东胜不粘煤,内蒙古鄂尔多斯,bituminous,12.0,6.0,0.30,31.0,6500,7000,520,中国煤炭资源概况 区域煤炭品质全梳理,https://www.cctd.com.cn/show-176-171895-1.html,特低灰特低硫特低磷；优活动力煤；三低六高享誉国际市场。
PS-5200,平朔气煤,山西朔州,bituminous,11.0,18.0,0.90,34.0,5200,12000,480,超超临界机组平朔煤掺配掺烧试验研究(中国电力2012),https://www.electricpower.com.cn/CN/Y2012/V45/I9/11,中等灰分气煤；挥发分较高；可掺配低硫印尼煤或蒙古煤使用。
LL-7400,离柳焦煤,山西吕梁,coking,6.0,9.3,1.80,22.0,7400,4000,850,中国煤炭资源网,https://www.cctd.com.cn/,离柳矿区主焦煤(熊猫煤)；粘结指数G=75-88；国内稀缺优质炼焦煤；高硫是主要缺点。
LPS-5000,六盘水贫煤,贵州六盘水,lean,9.0,25.0,3.50,16.0,5000,9000,420,中国主要煤田煤质数据汇总,https://www.cctd.com.cn/,高灰高硫贫煤；代表西南地区典型煤质；必须与低硫煤掺配方可使用。
SM-DQ-5800,神木混煤,陕西榆林,bituminous,11.0,7.1,0.32,34.0,5800,9000,515,榆林煤炭产品销售平台,https://k0912.com/wap/search.jsp,神木混煤公开挂牌指标；低灰低硫、5800大卡，适合作低硫动力煤主配煤。
SM-DQ-6280,神木籽煤,陕西榆林,bituminous,11.0,4.1,0.30,35.4,6280,4500,620,榆林煤炭产品销售平台,https://k0912.com/wap/search.jsp,神木籽煤公开挂牌指标；灰分低、硫分低、热值高，适合高热值补偿但成本较高。
FG-5800,府谷面煤,陕西府谷,bituminous,9.0,5.8,0.30,35.0,5800,6500,470,榆林煤炭产品销售平台,https://k0912.com/wap/search.jsp,府谷煤矿公开挂牌指标；低灰低硫，水分低于典型神木煤，适合水分约束较严订单。
FG-6400,府谷块煤,陕西府谷,bituminous,9.0,5.8,0.30,35.0,6400,3500,550,榆林煤炭产品销售平台,https://k0912.com/wap/search.jsp,府谷块煤公开挂牌指标；高热值、低硫，用于提热和降低硫分。
DS-XJ-6900,东胜高热值不粘煤,内蒙古鄂尔多斯,bituminous,7.0,7.0,0.25,31.0,6900,5000,610,东胜煤田煤质特征公开论文,https://xbdz.net.cn/article/doi/10.12401/j.nwg.2025098,东胜煤田煤质具有特低-低灰、特低-低硫、高发热量特征；本行按公开区间中值构造调优样本。
DS-XL-6700,东胜低硫不粘煤,内蒙古鄂尔多斯,bituminous,7.5,8.0,0.20,30.0,6700,6000,590,鄂尔多斯盆地东胜煤田煤质研究,https://www.geojournals.cn/dzxb/dzxb/article/html/2024193,东胜煤田多煤层硫分多处于特低硫范围；本行按低硫高热值动力煤构造。
ZD-4800,准东五彩湾动力煤,新疆准东,sub-bituminous,25.0,3.4,0.28,31.1,4810,14000,180,准东五彩湾煤公开工业分析数据,https://jns.usst.edu.cn/html/2019/1/20190105.htm,低灰低硫但水分高；适合宽水分约束下低成本掺配，水分严格订单需限配。
ZD-4500,准东经济动力煤,新疆准东,sub-bituminous,28.0,6.0,0.35,32.0,4500,16000,150,准东煤及其混煤燃烧与结渣特性,https://www.jjmjs.com.cn/en/article/doi/10.13226/j.issn.1006-6772.18101001,准东煤高水分、低硫、低成本，需控制高钠结渣与水分风险。
PS-5600,平朔中灰动力煤,山西朔州,bituminous,10.5,16.0,0.75,33.0,5600,10000,500,超超临界机组平朔煤掺配掺烧试验研究,https://www.electricpower.com.cn/CN/Y2012/V45/I9/11,平朔煤作为库存主力煤，中等灰分和中等硫分，适合与低硫低灰煤配合。
DT-5700,大同动力煤,山西大同,bituminous,10.0,12.0,1.00,30.0,5700,9000,630,中国煤炭资源网 区域煤炭品质全梳理,https://www.cctd.com.cn/show-176-171895-1.html,大同动力煤代表晋北动力煤基准煤种，热值较高但硫分相对偏高。
YQ-7200,阳泉高热无烟煤,山西阳泉,anthracite,6.5,12.0,1.00,8.0,7200,3000,760,阳泉煤业竞价销售交易公告 2025,https://www.gc-zb.com.cn/,高热值低挥发分无烟煤，用于提热时需控制低挥发分配入比例。
LL-7000,吕梁低灰焦煤,山西吕梁,coking,6.5,8.5,1.20,22.0,7000,3500,820,中国煤炭资源网,https://www.cctd.com.cn/,低灰高热值炼焦煤，成本高，作为高热值或炼焦场景少量配入。
